wv	R0	R1	R2
350	0.1274923894	0.0060080551	0
350.44	0.1263008718	0.005951905	0
350.88	0.1263008718	0.005951905	0
351.32	0.1263008718	0.005951905	0
351.75	0.1263008718	0.005951905	0
352.19	0.1263008718	0.005951905	0
352.63	0.1089854297	0.0051359181	0
353.07	0.0665723807	0.003137211	0
353.51	0.0746640513	0.0035185295	0
353.95	0.2862121966	0.0035185295	0
354.38	0.2123131458	0	0
354.82	0.2123131458	0	0
355.26	0.1721076664	0	0
355.7	0.1671109922	0	0
356.13	0.131333268	0	0
356.57	0.1369219177	0	0.0018748496
357.01	0.1176169998	0	0.1095147137
357.45	0.0726569531	0	0.0795903897
357.89	0.0663608567	0.0408381145	0.0737624972
358.32	0.0625657096	0.0385026014	0.0695440537
358.76	0.0597351237	0.0367606741	0.0663977549
359.2	0.0494705611	0.0304439174	0.0701300333
359.64	0.0463001382	0.0284928562	0.1006909857
360.07	0.0418472287	0.0257525597	0.0943776752
360.51	0.0408646898	0.0258275837	0.0921617639
360.95	0.0355241154	0.0515741508	0.0785764993
361.38	0.0005996713	0.0452715589	0.0689740997
361.82	0.0005838169	0.0445698644	0.0671505232
362.26	0.0005290969	0.0403924212	0.0608566404
362.69	0.0005062633	0.0502440319	0.0702923215
363.13	0.0004724912	0.0496978453	0.0892824856
363.57	0.0004450436	0.0592685554	0.107130929
364	0.0058688103	0.0558269419	0.1005656347
364.44	0.005588006	0.0531557963	0.0878836998
364.88	0.005635946	0.0594169266	0.0889683994
365.31	0.0054264529	0.0450433537	0.0853429217
365.75	0.0051148609	0.0458658727	0.0804424522
366.19	0.0048415657	0.0434151858	0.0917709087
366.62	0.0245569728	0.043049431	0.0817771295
367.06	0.0243950095	0.0422027983	0.0754220174
367.5	0.0230918362	0.0407215325	0.079381026
367.93	0.0217205661	0.0504246664	0.0746671166
368.37	0.0352922989	0.0367190793	0.0980849982
368.8	0.0504007595	0.0412016745	0.1128522516
369.24	0.0483813634	0.0497575287	0.1200698758
369.67	0.0544984978	0.0594072509	0.128824432
370.11	0.068212838	0.0681056088	0.1341324485
370.55	0.0694273	0.0781030224	0.1339034819
370.98	0.0815855511	0.0927855206	0.1426626236
371.42	0.0976120956	0.1034582484	0.1520400068
371.85	0.12213074	0.111941429	0.1559981475
372.29	0.1375827461	0.1143070995	0.1545328578
372.72	0.1510560541	0.1199480975	0.1678399597
373.16	0.1721243473	0.122712485	0.169256407
373.59	0.1858841663	0.1294295898	0.1579452691
374.03	0.1841693976	0.1366008915	0.1666062342
374.46	0.2022589341	0.1436031357	0.175350585
374.9	0.2276566889	0.1498479624	0.1864742966
375.33	0.24193114	0.1614527093	0.1999713854
375.77	0.2472092793	0.1769707268	0.1887895258
376.2	0.25456084	0.1932977563	0.1819745412
376.64	0.2646292472	0.1939704086	0.18341884
377.07	0.2768994251	0.2024252409	0.1869077813
377.51	0.2777599327	0.203821218	0.1830822568
377.94	0.3014485847	0.2135269998	0.1800222332
378.38	0.3032668528	0.2184302901	0.1735908479
378.81	0.3014017384	0.2278306297	0.1776799925
379.24	0.3043853626	0.2395622577	0.1789528218
379.68	0.309584924	0.2586459656	0.1898661969
380.11	0.319576088	0.2758898228	0.1914583618
380.55	0.3266852679	0.2947733482	0.2028418399
380.98	0.3279340944	0.3091432117	0.2193654643
381.42	0.3365670718	0.3230848155	0.2290838079
381.85	0.3368769798	0.3265657517	0.2378440582
382.28	0.3282341752	0.3321583135	0.2414103852
382.72	0.3356496183	0.3358400508	0.2398727272
383.15	0.3369101096	0.338235371	0.2522002588
383.58	0.332141373	0.3421434555	0.2696557819
384.02	0.3348203099	0.3561214177	0.2748294147
384.45	0.3264707863	0.3598645649	0.2787066908
384.88	0.3205087875	0.363383052	0.2824940328
385.32	0.309679211	0.3689695151	0.2878519092
385.75	0.3052828531	0.3726454831	0.2991204765
386.18	0.2984559856	0.3714041896	0.3010083595
386.62	0.2897315491	0.3728523959	0.3082862264
387.05	0.2760260519	0.3687415072	0.3058834043
387.48	0.261874039	0.3735166719	0.3062989118
387.92	0.2492708255	0.3695463265	0.3121934933
388.35	0.2436736939	0.3648552101	0.3108049175
388.78	0.2313540132	0.3620838345	0.3107129039
389.22	0.2187189877	0.365829783	0.3094972976
389.65	0.2100701891	0.3709262557	0.3095204292
390.08	0.1952160234	0.3738433493	0.3170260337
390.51	0.1841352095	0.3749027958	0.3203409965
390.95	0.1815664097	0.3705129223	0.3223163686
391.38	0.1678435161	0.3669161728	0.3273983367
391.81	0.1619734528	0.3658115227	0.3333952159
392.24	0.1581462973	0.3670626185	0.3406372666
392.67	0.152591852	0.3613715708	0.345947057
393.11	0.1506603531	0.3564386697	0.3433855022
393.54	0.1499983658	0.3549757153	0.3483938752
393.97	0.1474693469	0.3519523186	0.3515709532
394.4	0.1523571182	0.3492945547	0.3623552027
394.83	0.1566252494	0.3415442272	0.3675783701
395.27	0.1633495499	0.3397808185	0.3692563274
395.7	0.1687429243	0.3381329845	0.373224996
396.13	0.1788399655	0.3364685422	0.3802512769
396.56	0.1856983608	0.3322410659	0.3836594549
396.99	0.1919149335	0.3272525544	0.3899763339
397.42	0.200042284	0.3217925505	0.3896602029
397.86	0.2118796443	0.3187543754	0.3930031261
398.29	0.2174273172	0.3197859569	0.3933212937
398.72	0.2349639564	0.318501904	0.3982508855
399.15	0.2496362241	0.3146324323	0.4031802918
399.58	0.2621221263	0.313054398	0.4089635387
400.01	0.2709423992	0.3125372213	0.4140486319
400.44	0.2830831191	0.3137946994	0.4186631471
400.87	0.2980497761	0.316277884	0.4245895649
401.31	0.3131059839	0.3158853141	0.427654232
401.74	0.3269236625	0.3160114951	0.4293616976
402.17	0.3400253697	0.3174784088	0.4323844454
402.6	0.3493559591	0.3186696332	0.4363334694
403.03	0.3599883435	0.3277250722	0.4436703363
403.46	0.370837321	0.3317244182	0.4481708108
403.89	0.3860839743	0.3364011369	0.4544538279
404.32	0.4007721721	0.3421051013	0.4600676811
404.75	0.415663538	0.3505979872	0.4685752065
405.18	0.4286547923	0.3609693029	0.4760967508
405.61	0.4414610755	0.3689195018	0.4842237643
406.04	0.4486719021	0.3753821859	0.4880904001
406.47	0.4572853095	0.3850663391	0.4917518076
406.9	0.4694490531	0.3982544692	0.4963446679
407.33	0.4828702768	0.4127355759	0.5049601414
407.76	0.4917586485	0.4217701826	0.5110740344
408.19	0.4968096347	0.4310727822	0.5127950656
408.62	0.5055569966	0.4441220459	0.520725044
409.05	0.5102662166	0.4569031075	0.5259620609
409.48	0.5200651858	0.4703367145	0.5344155482
409.91	0.5287190091	0.487110978	0.5416305314
410.34	0.5345353543	0.4948375069	0.5463671022
410.77	0.5411914625	0.5061113352	0.5515514976
411.2	0.5431967777	0.5207395489	0.5583813067
411.63	0.5458742531	0.5329511068	0.5640615638
412.05	0.5494074061	0.5457121097	0.5731133228
412.48	0.5510457509	0.5568457896	0.5784801978
412.91	0.5530336366	0.56538901	0.5824043273
413.34	0.5540663537	0.5735928604	0.5882542753
413.77	0.5563371445	0.5858394657	0.5956290164
414.2	0.5566397581	0.5931842855	0.6010899006
414.63	0.5543688743	0.5987845078	0.6013244767
415.06	0.5542351175	0.6090721649	0.6061730058
415.49	0.5548186499	0.6200087451	0.612285897
415.91	0.5539554824	0.6276705308	0.6155836455
416.34	0.5540379204	0.6381515555	0.6196039386
416.77	0.5509561596	0.6456637721	0.6234368654
417.2	0.5473681948	0.6526215667	0.6286644117
417.63	0.5438842064	0.6609556905	0.6356144923
418.06	0.5384980216	0.6657195553	0.6399481468
418.48	0.5359217011	0.6710985494	0.6443431488
418.91	0.5329774222	0.6788963321	0.6496780365
419.34	0.5282236721	0.6835186078	0.6484016559
419.77	0.5246719301	0.6906547046	0.6524958147
420.2	0.5221439753	0.6997130658	0.6594920264
420.62	0.5218602947	0.708743694	0.6651655884
421.05	0.5172922163	0.711458902	0.6688060615
421.48	0.5108995268	0.7153250827	0.674296216
421.91	0.5058895941	0.7215581926	0.6829416283
422.34	0.5019641252	0.7261142135	0.6876524215
422.76	0.4988617879	0.7298693271	0.6929117
423.19	0.4960229672	0.7347132813	0.6991923771
423.62	0.4918635159	0.7373824365	0.7073462831
424.04	0.4872853699	0.7385729161	0.7117548219
424.47	0.4848372576	0.7396596037	0.7169951485
424.9	0.4805600357	0.7408681227	0.7196970494
425.33	0.4807671789	0.7463469117	0.7256378794
425.75	0.4795375789	0.7483584472	0.731583756
426.18	0.4799136607	0.7479820455	0.7368916886
426.61	0.4803522517	0.7487769169	0.7440329107
427.03	0.4813297628	0.7469258828	0.7489885029
427.46	0.4798235268	0.74506152	0.7521163613
427.89	0.4799463864	0.7477473537	0.7579494645
428.31	0.4810639236	0.7474336962	0.7627255721
428.74	0.4855534415	0.7464249248	0.7681997542
429.17	0.4918399072	0.7449575264	0.7710614984
429.59	0.4972105081	0.7468219701	0.7778578777
430.02	0.5020198986	0.7476574525	0.7866153101
430.45	0.5051478789	0.7476325527	0.7921828686
430.87	0.5107682496	0.7499108683	0.7979662393
431.3	0.5170718093	0.7501964334	0.8052673749
431.72	0.5237552505	0.7518002809	0.8109777944
432.15	0.531272266	0.7522766784	0.8161965813
432.58	0.5374849355	0.7522599782	0.8222257098
433	0.5449369715	0.753242169	0.8258972989
433.43	0.5530887925	0.7554637195	0.8317079188
433.85	0.5603937574	0.755634851	0.8384643248
434.28	0.5667079185	0.7569447603	0.8453556626
434.7	0.5751621168	0.7582520053	0.8496489035
435.13	0.5816984259	0.7555182033	0.8531242222
435.56	0.5887600635	0.7557496737	0.8552829765
435.98	0.5955651395	0.7557189568	0.8563521118
436.41	0.6021581955	0.7561451952	0.8611716875
436.83	0.6104693801	0.7551816268	0.8639574816
437.26	0.6167951281	0.7540141231	0.8667742992
437.68	0.6248028909	0.7525052856	0.8681675722
438.11	0.6322016595	0.7492841877	0.8705632136
438.53	0.6398816425	0.7469907576	0.8724255708
438.96	0.6487901906	0.7449208382	0.8735151575
439.38	0.6573381483	0.7441112533	0.8782085635
439.81	0.6648440104	0.7442128942	0.8834470679
440.23	0.6706577693	0.7418361757	0.8867918837
440.66	0.6766255617	0.739808728	0.88786268
441.08	0.6815544194	0.7380078261	0.8890851034
441.51	0.688910609	0.7378782491	0.8910093349
441.93	0.6984518247	0.7394061058	0.8964017602
442.35	0.7075334473	0.7410776915	0.8998123841
442.78	0.7169833683	0.7427659382	0.9060121123
443.2	0.7249197965	0.7448367649	0.9100792257
443.63	0.7322431045	0.7460310611	0.9135562998
444.05	0.7383866604	0.7483418798	0.9179226116
444.47	0.7461633634	0.7496832999	0.9197177603
444.9	0.7542398229	0.7510912932	0.9230737535
445.32	0.7625245848	0.7544075335	0.9247088705
445.75	0.7681670816	0.757754127	0.9268963127
446.17	0.7718271296	0.7595751924	0.9307470378
446.59	0.7763191637	0.7614456371	0.9329793098
447.02	0.779463515	0.7603745158	0.9292409068
447.44	0.7867740984	0.7633471548	0.9306094139
447.86	0.7900477063	0.7639190494	0.930360204
448.29	0.7977370883	0.7667432764	0.9330043877
448.71	0.8043007542	0.7708802007	0.935062357
449.13	0.8066246361	0.7721678949	0.9363890087
449.56	0.807996266	0.774197231	0.9357593144
449.98	0.8096990644	0.7757618513	0.9351393523
450.4	0.8134856702	0.7772638846	0.9351542488
450.83	0.8167122892	0.7796838387	0.9355298146
451.25	0.8185194451	0.7790203205	0.9354595334
451.67	0.8213851315	0.7824208208	0.9354900541
452.1	0.8246256404	0.7877738984	0.938780737
452.52	0.8260800863	0.7889013711	0.9403382489
452.94	0.8299820987	0.7921166637	0.9429091444
453.36	0.8345193471	0.7970552064	0.9436673234
453.79	0.8382248645	0.7997993598	0.9425215595
454.21	0.8435452763	0.8052672315	0.9472688778
454.63	0.8450256578	0.8090872827	0.9499398701
455.05	0.8482749248	0.812586513	0.9525818893
455.48	0.8493387118	0.818091141	0.9533587047
455.9	0.850766434	0.8211084592	0.955487121
456.32	0.8533953362	0.8252531265	0.9566789218
456.74	0.8584297365	0.8296903124	0.9599171539
457.16	0.8618903051	0.8350479164	0.9630326788
457.59	0.8652699741	0.8405974488	0.966902596
458.01	0.8698172501	0.8456476173	0.969911532
458.43	0.8737341265	0.8528861749	0.9728235044
458.85	0.8743611064	0.8549963197	0.9739753843
459.27	0.8762204432	0.8579758112	0.974125052
459.69	0.8785791153	0.8638593766	0.9768564503
460.12	0.8810421552	0.8694910597	0.9777209065
460.54	0.8811175491	0.8729086923	0.9780590807
460.96	0.8833339933	0.878855265	0.9811963112
461.38	0.8838836453	0.8825236715	0.9796836384
461.8	0.887021109	0.8874811707	0.9805673778
462.22	0.8901557161	0.8928711777	0.982800851
462.64	0.8923981335	0.8944310493	0.9821569914
463.06	0.8929580597	0.8969624278	0.979946477
463.49	0.8945374925	0.8998799772	0.9804733972
463.91	0.8937662827	0.9021876601	0.9808479559
464.33	0.8945405206	0.9048888851	0.9819033848
464.75	0.8953410945	0.908453346	0.9828935274
465.17	0.8956304969	0.9112874855	0.9826673279
465.59	0.8958766917	0.9127814862	0.982674137
466.01	0.8987751235	0.9175100067	0.9848666095
466.43	0.8979567929	0.9194669335	0.9840476258
466.85	0.9001337332	0.9216372484	0.9840125718
467.27	0.9009407973	0.9240807394	0.9859810174
467.69	0.901832706	0.9261366628	0.9869848109
468.11	0.9020031119	0.9282227792	0.9870115508
468.53	0.9031589164	0.9298896831	0.9870868682
468.95	0.9061607307	0.9314413928	0.9882671153
469.37	0.9058123246	0.9322938287	0.9869825904
469.79	0.9067876931	0.9342213368	0.9883312133
470.21	0.9102280686	0.9368863359	0.9908509531
470.63	0.9113622484	0.9393319371	0.9909597721
471.05	0.9122097912	0.9405625796	0.9897455199
471.47	0.9130616013	0.9426326777	0.9879376695
471.89	0.9140373849	0.9447871652	0.9881952691
472.31	0.9134191344	0.9449646173	0.9874924014
472.73	0.9151624085	0.9470137177	0.987784506
473.15	0.9152026337	0.9489484319	0.9868500708
473.57	0.9162520929	0.9518831325	0.9877832886
473.99	0.9159414035	0.9546696024	0.9884960158
474.41	0.917197936	0.9565641512	0.9883435727
474.83	0.9198345315	0.9606752613	0.988890946
475.24	0.9212692669	0.9623898907	0.9886611612
475.66	0.9224462324	0.9645383203	0.9894433541
476.08	0.9207491444	0.965518373	0.9874997301
476.5	0.9223027828	0.9679122245	0.9878974601
476.92	0.9227345607	0.9703749663	0.9880449884
477.34	0.9228726964	0.9718168613	0.9889899205
477.76	0.9247364906	0.9741340893	0.9903798222
478.18	0.9260993375	0.9761505347	0.9911414937
478.59	0.9267126163	0.9778247856	0.9921829011
479.01	0.9272194729	0.9793674446	0.9912935231
479.43	0.9287431041	0.9813824243	0.9924770337
479.85	0.928382047	0.9811267804	0.9916052595
480.27	0.9296310623	0.9804137592	0.9916560457
480.69	0.9313861654	0.9802039204	0.9920180287
481.1	0.9314993624	0.9796708059	0.9910638727
481.52	0.9315417047	0.978475284	0.9900422757
481.94	0.9312658372	0.9767968952	0.9885526763
482.36	0.9327309574	0.977762043	0.9886618481
482.78	0.9338148058	0.9784588615	0.9882272562
483.19	0.9360034435	0.9805201773	0.9889595698
483.61	0.9364580762	0.98069808	0.9888195531
484.03	0.9389714326	0.9817247346	0.9895724572
484.45	0.9387628323	0.9819299706	0.9880143667
484.86	0.9384980737	0.9814152397	0.9866650079
485.28	0.9391303936	0.9825381248	0.9867726203
485.7	0.9393939525	0.9817633977	0.9855737103
486.12	0.9404168089	0.9819455382	0.9866040353
486.53	0.9418742916	0.98293582	0.9860365532
486.95	0.9428992031	0.9843484847	0.984908505
487.37	0.9429367094	0.9859270538	0.9844445772
487.78	0.9430149193	0.9875547318	0.9849136257
488.2	0.9434837856	0.9877829086	0.9845761808
488.62	0.9445876428	0.9895145995	0.9848634864
489.03	0.9464028122	0.9908168135	0.9860609853
489.45	0.9475915286	0.9918307084	0.9871418704
489.87	0.9489364051	0.9936643312	0.989178116
490.28	0.9486305284	0.9927153157	0.9893421754
490.7	0.9507247364	0.9948864447	0.991692911
491.12	0.950814728	0.9940752156	0.9913838991
491.53	0.9527235391	0.9950601809	0.9921004497
491.95	0.9543745415	0.9964096549	0.9938382394
492.37	0.9565449033	0.9961872827	0.9943620185
492.78	0.9588285341	0.9979865736	0.996250153
493.2	0.9592099178	0.9989593213	0.9970898195
493.61	0.9599733123	0.9999999995	0.9985828669
494.03	0.9595727938	0.9994530442	0.9997307688
494.45	0.9598144448	0.9986898196	0.9999998082
494.86	0.9610134726	0.9979646652	0.9992190867
495.28	0.9621463477	0.9992352096	0.9993169657
495.69	0.9626853284	0.9986445492	0.9984240995
496.11	0.9644874384	0.9991208415	0.9979758458
496.52	0.9640342457	0.9980858469	0.9962267486
496.94	0.9640276321	0.9963356401	0.9945445476
497.36	0.9645653962	0.9954082261	0.9929531264
497.77	0.9642649681	0.9928687368	0.9907084254
498.19	0.9635509047	0.9927938736	0.9888679853
498.6	0.9638522307	0.9916632537	0.9878916612
499.02	0.9633362944	0.9893935232	0.9856195428
499.43	0.9623126691	0.9881919523	0.9853935071
499.85	0.9624148375	0.9865908137	0.9834484501
500.26	0.96252548	0.9848350146	0.9816138098
500.68	0.9622971956	0.9835076613	0.9802538312
501.09	0.9638361068	0.9831073621	0.9796601318
501.51	0.9653540634	0.983447687	0.9788166161
501.92	0.9656860124	0.9831927575	0.9775883205
502.33	0.9667518989	0.9835106943	0.9781283839
502.75	0.9677106812	0.9837017399	0.9781990668
503.16	0.9671148909	0.9831095874	0.9785874714
503.58	0.9681270564	0.983308344	0.9792953468
503.99	0.9675573673	0.9831147783	0.9794811653
504.41	0.9680255608	0.9829908552	0.9803619533
504.82	0.9699304561	0.9842528458	0.9817580236
505.23	0.9712178047	0.9848469496	0.9823297466
505.65	0.9710020546	0.9855136433	0.9817592878
506.06	0.9717943199	0.9873370283	0.9815606815
506.48	0.971209552	0.9878026283	0.980130162
506.89	0.969918762	0.9875251474	0.979173005
507.3	0.9711283757	0.9878299503	0.9793776926
507.72	0.971252355	0.9876822769	0.9786561504
508.13	0.9719169305	0.9880609368	0.9787439331
508.54	0.9722221921	0.9888893286	0.9801637358
508.96	0.9732420476	0.9892882451	0.9810407551
509.37	0.9736655872	0.9885386845	0.9797971792
509.78	0.9741710181	0.9885417645	0.9800707341
510.2	0.9743337869	0.9886690327	0.9788942844
510.61	0.9748330454	0.9888358563	0.9784890494
511.02	0.9761915235	0.9904083061	0.9777301217
511.44	0.9768082711	0.9919777178	0.9767890833
511.85	0.9755867558	0.9921040868	0.9745762545
512.26	0.9758403118	0.9920479977	0.9737057591
512.68	0.9766098562	0.9913794071	0.9729458765
513.09	0.9769337999	0.9903105272	0.9721202932
513.5	0.9791534274	0.9904102888	0.9725085994
513.91	0.9803709668	0.9903477599	0.9727988618
514.33	0.9806587048	0.9902443027	0.9716918826
514.74	0.9804242116	0.9899747279	0.9710093896
515.15	0.9800658928	0.9899561251	0.9698837606
515.56	0.980320041	0.9888286811	0.9680513202
515.98	0.980031597	0.9885391928	0.9672424247
516.39	0.9799031538	0.9884042227	0.9669515175
516.8	0.9795389485	0.9875758587	0.9655181645
517.21	0.9787502609	0.9862277258	0.9652245384
517.62	0.9780823047	0.9852065087	0.9637732772
518.04	0.9775660783	0.9833348174	0.9629777225
518.45	0.9773213694	0.982775313	0.9629993874
518.86	0.977285732	0.9819595053	0.9629840874
519.27	0.9779486363	0.981905118	0.9631827594
519.68	0.9784769481	0.98253609	0.9634868074
520.1	0.9789859844	0.9827823712	0.9633888156
520.51	0.9787259783	0.9818864609	0.9611414963
520.92	0.9795395328	0.981753705	0.9602103322
521.33	0.9788695116	0.9804274366	0.9581456303
521.74	0.979961136	0.9794843477	0.9567300112
522.15	0.980559224	0.9794601186	0.9563576879
522.56	0.9806682413	0.9790978463	0.955424102
522.97	0.9811624345	0.9786543141	0.95462434
523.39	0.9823355443	0.977634554	0.9537515231
523.8	0.9827451013	0.9768298004	0.9529566478
524.21	0.9834292766	0.9765932371	0.9511184658
524.62	0.9836062667	0.9762000359	0.9501144212
525.03	0.9838339932	0.9757710309	0.9484543105
525.44	0.9843680037	0.9752312353	0.9471803595
525.85	0.9849593442	0.9755907388	0.9461284755
526.26	0.9847540361	0.9750254387	0.9451889185
526.67	0.9846282224	0.9747818826	0.9447359564
527.08	0.9838866021	0.9738239337	0.9434790006
527.49	0.9841065926	0.9742126798	0.9434273542
527.9	0.9845364252	0.9749400765	0.9429812011
528.31	0.9854960924	0.9757532403	0.9432270976
528.72	0.9852643335	0.9759624467	0.941809685
529.13	0.9852357014	0.975766022	0.9401696716
529.54	0.9862865453	0.9762795108	0.9396447195
529.95	0.9866433495	0.9759608076	0.9382893167
530.36	0.9864497065	0.9763779958	0.936906214
530.77	0.9869904711	0.9781578103	0.9358250705
531.18	0.988671271	0.9789391263	0.9360087931
531.59	0.9897856772	0.9795474654	0.9356343603
532	0.9908197748	0.980086623	0.9353185343
532.41	0.9911184922	0.9795980431	0.9330887355
532.82	0.9917662167	0.978240635	0.9306097882
533.23	0.9921002822	0.9774365927	0.9278671341
533.64	0.9922673348	0.9759174021	0.9254034288
534.05	0.9936774711	0.97545704	0.9244417562
534.46	0.9941625536	0.9743226785	0.9235641267
534.87	0.993652666	0.9725858382	0.9220780511
535.28	0.993644044	0.9719680495	0.9214724595
535.68	0.9953251	0.9729873472	0.9228888387
536.09	0.9971753419	0.9743261685	0.9247513968
536.5	0.9980674766	0.9746224563	0.92491214
536.91	0.9988187213	0.9749854777	0.9250523594
537.32	0.9998922803	0.9751051049	0.9260960936
537.73	0.999441591	0.9732006322	0.9251939242
538.14	0.9991036372	0.9719688614	0.9238120106
538.54	0.9986822579	0.9706171026	0.9228733304
538.95	0.9983421033	0.9698923396	0.9221921253
539.36	0.9986785213	0.9701248671	0.9231710228
539.77	0.9990994934	0.9703394294	0.9234602443
540.18	0.9979540873	0.9690354071	0.9222729071
540.59	0.9977208378	0.9689027246	0.9209906489
540.99	0.9976760221	0.9684218804	0.9197331038
541.4	0.9973113568	0.9674347694	0.917564221
541.81	0.9986352395	0.9681878847	0.9164936246
542.22	1.0000002986	0.9688657205	0.915641764
542.63	0.9996337378	0.9666773653	0.9122415095
543.03	0.9989208717	0.9646077373	0.908837161
543.44	0.9975468052	0.9628456001	0.9060477039
543.85	0.9962074953	0.9608906576	0.9034235692
544.26	0.9945663287	0.958444113	0.9007078778
544.66	0.9945730764	0.9571492888	0.8990491296
545.07	0.9929496334	0.9557055247	0.8961946257
545.48	0.9917732406	0.9541243884	0.8933730709
545.89	0.9914105396	0.9523382074	0.8917458592
546.29	0.9910665326	0.9503215915	0.889267185
546.7	0.9898084678	0.9489995403	0.8871607751
547.11	0.9897759955	0.9482524028	0.8856035042
547.51	0.9896481729	0.9470696307	0.8843358926
547.92	0.989576546	0.9459696041	0.8827679584
548.33	0.9897500958	0.946182154	0.8821016188
548.73	0.989120111	0.9445150192	0.8810593091
549.14	0.9881848452	0.9425911063	0.8790926542
549.55	0.987353847	0.942051317	0.8772600733
549.95	0.9874170856	0.9407854527	0.8755264223
550.36	0.9870914516	0.9395381805	0.8733084936
