wv	10L	12L
350	0	0
350.44	0	0
350.88	0	0
351.32	0	0
351.75	0	0
352.19	0	0
352.63	0	0
353.07	0	0
353.51	0	0
353.95	0	0
354.38	0	0
354.82	0	0
355.26	0	0
355.7	0	0
356.13	0	0
356.57	0	0
357.01	0	0
357.45	0	0
357.89	0.1353179973	0
358.32	0.1191895113	0
358.76	0.1129943503	0
359.2	0.09861932939	0
359.64	0.0849617672	0
360.07	0.07674597084	0
360.51	0.06671114076	0
360.95	0.0600240096	0
361.38	0.05254860746	0
361.82	0.04750593824	0
362.26	0.04415011038	0
362.69	0.04196391104	0.5455171083
363.13	0.04120313144	1.648179586
363.57	2.173069461	1.590978762
364	2.313990744	1.495151437
364.44	2.190765083	1.584086336
364.88	3.070891865	2.090806333
365.31	3.592085236	1.948202175
365.75	3.407450188	1.84807122
366.19	3.214383002	1.743403669
366.62	3.117569353	1.690862736
367.06	3.000254259	1.627277235
367.5	2.895705521	1.644143536
367.93	2.774512109	1.575336346
368.37	2.647520754	1.503233073
368.8	2.553559836	2.034218146
369.24	2.437512911	1.941779662
369.67	2.367101304	1.88562671
370.11	2.254920696	1.547887039
370.55	2.111290034	0.9661974049
370.98	1.6318205	0.9008978382
371.42	1.414404162	0.8453992398
371.85	1.375929148	0.7433203964
372.29	0.8829349977	0.4566926017
372.72	0.9619588981	0.4372521327
373.16	3.185070857	0.6313946244
373.59	4.696990147	1.295731913
374.03	5.034295328	2.290666118
374.46	6.980002547	3.591926572
374.9	8.129981606	5.199219627
375.33	10.22248948	6.843021801
375.77	12.12156634	8.977122365
376.2	15.45152798	11.19379923
376.64	17.11307856	13.54931547
377.07	18.64867805	16.38550546
377.51	20.37844159	18.48633191
377.94	22.34836539	21.84372382
378.38	24.26975505	24.73101308
378.81	27.18103883	27.17073387
379.24	29.86442992	29.89357303
379.68	33.52980321	33.2163378
380.11	37.01024147	36.69071373
380.55	38.37689133	40.2109493
380.98	40.59529098	43.29623581
381.42	43.29074852	45.58853539
381.85	43.89309867	46.64718756
382.28	45.75445762	48.80228985
382.72	46.23460986	50.37419971
383.15	47.2834388	51.69133285
383.58	47.14235747	52.1792296
384.02	47.67402606	52.88608258
384.45	48.62301302	52.48222682
384.88	49.08561666	52.69242671
385.32	49.25172561	52.04935557
385.75	49.43252719	51.89262807
386.18	48.76824554	51.56051769
386.62	48.05063291	50.6947105
387.05	46.55313575	49.3148053
387.48	45.11178376	47.75618167
387.92	43.90281888	46.14536439
388.35	42.2541673	44.00779325
388.78	40.30106228	42.11354093
389.22	38.43244588	39.54711167
389.65	36.02248632	36.3874676
390.08	33.58299694	33.24256274
390.51	30.67564318	29.80512698
390.95	27.66960539	26.51445684
391.38	25.08942259	23.31962802
391.81	22.36969001	21.30887956
392.24	20.03999818	19.42633673
392.67	17.4485818	17.38591168
393.11	15.1325984	15.95604561
393.54	13.12977099	15.01417011
393.97	11.19514592	14.63057166
394.4	9.880806975	14.62322659
394.83	8.842105263	15.15789474
395.27	8.337718056	15.23457974
395.7	8.158721323	16.6832399
396.13	8.660404568	18.26396457
396.56	9.507055719	20.43668109
396.99	10.84593838	22.48366013
397.42	12.53261788	25.15343263
397.86	14.86843534	28.09720772
398.29	16.93182224	31.1930771
398.72	19.06994646	33.79749635
399.15	21.29594803	36.06437082
399.58	23.22749021	38.16037865
400.01	25.60265728	40.68464386
400.44	27.94710531	42.26745802
400.87	30.21133678	43.97514528
401.31	32.9223414	45.48476932
401.74	35.12710159	46.34804412
402.17	37.42158573	46.90178044
402.6	39.39852812	47.57573913
403.03	41.40496609	47.48849988
403.46	42.76108178	47.14364375
403.89	44.07624377	46.40795222
404.32	45.37783557	46.1349116
404.75	45.98162214	45.17358931
405.18	46.43466585	43.77719815
405.61	47.23408947	41.97506909
406.04	47.60746591	40.30004637
406.47	47.99989152	38.48615518
406.9	48.39803083	36.36774491
407.33	48.48573324	33.80220231
407.76	48.14231325	31.56366573
408.19	47.57281553	28.63687838
408.62	46.71944835	26.00173464
409.05	45.9647882	23.31207823
409.48	44.72249197	21.09261803
409.91	43.52254043	19.08022283
410.34	41.92924334	17.24421028
410.77	40.41824281	15.69004932
411.2	38.57695464	14.7766829
411.63	36.79876003	14.25731928
412.05	35.35020923	13.80943528
412.48	33.49629931	13.88154535
412.91	31.38728713	14.37095277
413.34	29.2895279	15.21298174
413.77	27.10724007	16.29396109
414.2	24.89024991	17.7292055
414.63	22.65356473	19.33027055
415.06	20.78426486	21.19963296
415.49	18.93272896	23.81168229
415.91	17.3943876	26.27693036
416.34	15.87647848	29.08514966
416.77	14.59324946	31.76783823
417.2	13.74302545	34.4906893
417.63	13.1974146	37.02986248
418.06	12.9391245	39.68572952
418.48	13.13558529	42.08658432
418.91	13.50297143	43.76549188
419.34	13.97865052	45.39748124
419.77	14.70068695	46.95340809
420.2	16.05684273	48.32166147
420.62	17.63259511	49.74975342
421.05	19.23333163	50.90453388
421.48	21.23928096	51.67879862
421.91	23.4185532	52.58074115
422.34	25.59649727	53.13946761
422.76	27.81349187	52.96051042
423.19	29.96265989	52.89106129
423.62	32.17831845	52.60896365
424.04	34.24678576	51.95466306
424.47	36.46245509	51.56227117
424.9	38.55661464	50.9703566
425.33	40.34384714	50.09947118
425.75	42.09725783	48.94041857
426.18	43.82891302	47.78933829
426.61	45.32859331	46.6972511
427.03	46.86144336	45.55581027
427.46	48.06827655	44.37843339
427.89	49.24204587	42.73021434
428.31	50.25847214	41.02823996
428.74	51.35163689	39.50058457
429.17	52.07716102	37.82743184
429.59	52.67552719	36.12445122
430.02	53.24500451	34.66544209
430.45	53.75924275	33.22617817
430.87	54.08043055	31.82623039
431.3	54.55695115	30.8973934
431.72	54.68786022	29.6608699
432.15	54.737386	28.70070577
432.58	54.80099532	27.9416408
433	54.65369622	27.5453381
433.43	54.31474453	27.31331019
433.85	53.96255183	27.21055904
434.28	53.58323515	27.19599199
434.7	52.94117647	27.46641964
435.13	52.22968982	28.09484996
435.56	51.62366622	28.96392124
435.98	50.56915165	29.93835224
436.41	49.67728078	30.83393161
436.83	48.61461493	31.79411456
437.26	47.60232438	32.94520933
437.68	46.57237606	34.14024333
438.11	45.23816948	35.43906683
438.53	43.84202858	36.45393964
438.96	42.33897853	37.59167503
439.38	40.68115485	38.51100542
439.81	39.0283409	39.14908464
440.23	37.19075894	39.76349676
440.66	35.43681153	40.3715437
441.08	33.54651449	40.78811032
441.51	31.40649843	40.89957009
441.93	29.39727011	40.93769727
442.35	27.36098938	40.75683364
442.78	25.32452026	40.23479322
443.2	23.29457695	39.49642508
443.63	21.36195522	38.7515374
444.05	19.73051011	37.81921085
444.47	18.14245046	36.65858904
444.9	16.54869619	35.47677106
445.32	15.52873175	34.0541537
445.75	14.6310008	32.52045865
446.17	13.89338653	30.94186117
446.59	13.59920645	29.38333522
447.02	13.45628355	28.02053474
447.44	13.69988725	26.5406434
447.86	14.18348163	25.01667128
448.29	15.03175845	23.78832695
448.71	16.26854113	22.80422433
449.13	17.62076266	22.14846243
449.56	19.21938788	21.78788952
449.98	21.15287348	21.72003615
450.4	23.12441858	21.9784327
450.83	25.26388946	22.57226342
451.25	27.4316054	23.60881846
451.67	29.75297626	24.97165016
452.1	32.25685676	26.66471658
452.52	34.72733435	28.54970899
452.94	37.25732425	30.77399422
453.36	39.65097308	33.13588916
453.79	41.89986907	35.70428859
454.21	44.1684575	38.29705707
454.63	46.2253447	41.18495389
455.05	48.37984836	44.14774357
455.48	50.20280765	47.10072487
455.9	52.1354384	50.07134594
456.32	54.05227004	52.8249507
456.74	55.76448939	55.50572212
457.16	57.38016476	58.27752812
457.59	58.93975085	60.81577646
458.01	60.59163717	63.23718504
458.43	62.20285427	65.45994362
458.85	63.66937397	67.64849959
459.27	64.86539809	69.27118409
459.69	66.07021028	71.05129642
460.12	67.19609327	72.51220315
460.54	68.1844457	74.12573715
460.96	69.35661124	75.45424825
461.38	70.3568292	76.84545076
461.8	71.30163289	77.84989128
462.22	72.22515403	79.19362697
462.64	73.10719251	80.14433088
463.06	73.8664248	81.10863312
463.49	74.75985914	81.89001483
463.91	75.56914981	82.52084575
464.33	76.06481177	83.03945098
464.75	76.89163605	83.84184418
465.17	77.44176971	84.47078277
465.59	77.83645411	84.97309202
466.01	78.2190467	85.24929589
466.43	78.81648141	85.79420991
466.85	79.21386839	86.23801019
467.27	79.59842218	86.68240457
467.69	80.20063835	87.07270146
468.11	80.58066039	87.61154307
468.53	80.95804236	87.94256748
468.95	81.34589186	88.49939068
469.37	81.54693091	88.69156631
469.79	81.99449936	88.95938153
470.21	82.1591353	89.13920224
470.63	82.27915236	89.6114512
471.05	82.41139897	89.93751217
471.47	82.87252666	90.35755653
471.89	83.10384228	90.45503219
472.31	83.3436508	90.63083458
472.73	83.5586892	90.78643509
473.15	83.79314267	91.09194614
473.57	83.97887251	91.34035968
473.99	84.32823382	91.55430381
474.41	84.55211075	91.67565438
474.83	84.75321993	91.81856454
475.24	84.88232537	92.05292856
475.66	85.06601493	92.20151421
476.08	85.32653024	92.23128834
476.5	85.58307641	92.29046547
476.92	85.65613847	92.49623152
477.34	85.82392088	92.58565358
477.76	85.87705668	92.52980911
478.18	85.89648411	92.54077225
478.59	85.83677669	92.48525723
479.01	85.81701381	92.49330335
479.43	85.8155626	92.45922959
479.85	85.83711377	92.49752828
480.27	85.73745011	92.40669094
480.69	85.67874261	92.32827889
481.1	85.52074438	92.34639239
481.52	85.42263871	92.4199915
481.94	85.32280486	92.41546198
482.36	85.19199998	92.3166092
482.78	85.00290631	92.22391452
483.19	84.80475219	92.29222941
483.61	84.63588958	92.36082899
484.03	84.32316361	92.24927363
484.45	84.10139894	92.28134642
484.86	83.80550269	92.31110242
485.28	83.44622707	92.22628916
485.7	83.15892631	92.1779609
486.12	82.81656143	92.05824624
486.53	82.41798645	92.0372687
486.95	82.03312168	91.99254491
487.37	81.72857196	91.86136758
487.78	81.27447927	91.87184985
488.2	80.67654233	91.67078085
488.62	80.05932308	91.62902668
489.03	79.36212928	91.45209299
489.45	78.69653505	91.28151935
489.87	78.01938278	91.12781406
490.28	77.22717346	90.872914
490.7	76.34122725	90.53667421
491.12	75.43154779	90.23666929
491.53	74.38355309	89.80716752
491.95	73.36500749	89.33556121
492.37	72.32177933	88.84104565
492.78	71.12355387	88.47234689
493.2	69.72016794	88.09090152
493.61	68.26608285	87.57247211
494.03	66.69509757	87.15103549
494.45	64.90936001	86.51827588
494.86	63.10003251	85.76266777
495.28	61.27536691	85.02188157
495.69	59.22494601	84.11069088
496.11	57.03633153	83.18391905
496.52	54.71587113	82.24609063
496.94	52.3020317	81.1890101
497.36	49.69717484	79.96351537
497.77	46.99787275	78.71904782
498.19	44.29951782	77.39353583
498.6	41.4788449	76.00093891
499.02	38.61628083	74.40063001
499.43	35.78804644	72.76757767
499.85	33.01926854	70.81238567
500.26	30.45596196	68.70043856
500.68	28.01750503	66.36037152
501.09	25.75782981	63.79045417
501.51	23.73339726	61.22310091
501.92	21.99394761	58.52914363
502.33	20.52650358	55.78531322
502.75	19.48242169	53.04511008
503.16	18.7868358	50.40307669
503.58	18.38092503	47.77207324
503.99	18.37470957	45.5129212
504.41	18.74515778	43.50140753
504.82	19.43544269	41.76962719
505.23	20.53247285	40.35526744
505.65	21.97500918	39.27132292
506.06	23.66833998	38.66438094
506.48	25.55781334	38.44344154
506.89	27.65269821	38.66658193
507.3	29.8987034	39.26661057
507.72	32.31028685	40.3944476
508.13	34.7942981	41.81226471
508.54	37.33035986	43.61173965
508.96	39.8397271	45.68459329
509.37	42.36886375	47.97832338
509.78	44.85418327	50.46038494
510.2	47.3067553	53.10173041
510.61	49.73406763	55.81271175
511.02	51.94278829	58.46340358
511.44	54.06660203	61.07717799
511.85	56.14868004	63.57328736
512.26	58.04689509	65.97020972
512.68	59.89345704	68.2278856
513.09	61.59173007	70.18753248
513.5	63.18586219	72.1176684
513.91	64.78450559	73.86986815
514.33	66.279541	75.55091053
514.74	67.69322136	77.02091796
515.15	69.02679422	78.34896437
515.56	70.29796186	79.53336525
515.98	71.40713678	80.56766955
516.39	72.43549584	81.57005661
516.8	73.36380761	82.4624371
517.21	74.29558065	83.33344122
517.62	75.1636213	84.1738174
518.04	76.04943367	84.85839816
518.45	76.9203946	85.48415429
518.86	77.66057008	86.02718422
519.27	78.4148598	86.57586517
519.68	79.13987055	87.08045417
520.1	79.83640191	87.73323664
520.51	80.56853146	88.23383987
520.92	81.14378092	88.6989189
521.33	81.76548844	89.15536007
521.74	82.28262377	89.63759471
522.15	82.81245388	90.11126467
522.56	83.37374591	90.52011536
522.97	83.91843605	90.91368965
523.39	84.38984427	91.22326371
523.8	84.87766235	91.47308883
524.21	85.30547481	91.61547207
524.62	85.70633931	91.66259818
525.03	86.06869359	91.8084126
525.44	86.38142547	91.97894467
525.85	86.81507328	92.19217116
526.26	87.20755694	92.37491756
526.67	87.52280056	92.56539129
527.08	87.87197527	92.69419932
527.49	88.26455281	92.85149458
527.9	88.61466439	93.09723463
528.31	88.87657686	93.21712859
528.72	89.15186541	93.27581184
529.13	89.36290793	93.30186616
529.54	89.58593252	93.49163676
529.95	89.89244002	93.60331061
530.36	90.24816366	93.7609484
530.77	90.52117037	93.9625948
531.18	90.74502237	94.2255904
531.59	90.88601667	94.42326776
532	91.0683035	94.60803919
532.41	91.24034638	94.73763932
532.82	91.38767832	94.90377006
533.23	91.58116424	95.01119751
533.64	91.91198466	95.17531261
534.05	92.08979413	95.23128049
534.46	92.12091572	95.26057379
534.87	92.3219218	95.23309424
535.28	92.50464988	95.25571822
535.68	92.73048853	95.28084157
536.09	92.99057221	95.3536425
536.5	93.16817921	95.31102379
536.91	93.25352202	95.2849608
537.32	93.30571652	95.1989856
537.73	93.42993637	95.11947637
538.14	93.48700091	95.02802347
538.54	93.63462771	95.00808252
538.95	93.76507841	95.07002614
539.36	93.85532193	95.05775708
539.77	93.88277246	94.9897298
540.18	93.92118295	94.9957421
540.59	93.83519574	94.97728742
540.99	93.91583484	95.12281508
541.4	94.06874918	95.16521214
541.81	94.10293345	95.14662805
542.22	94.14405561	95.12417425
542.63	94.2508989	95.18713791
543.03	94.20709204	95.16817707
543.44	94.10841436	95.11215992
543.85	94.0531282	95.13011706
544.26	94.08134479	95.28878726
544.66	94.18508964	95.45354177
545.07	94.23399414	95.46417811
545.48	94.28456183	95.5610351
545.89	94.32619688	95.56462773
546.29	94.45979174	95.67629196
546.7	94.56917634	95.8120622
547.11	94.6744947	95.99299912
547.51	94.84428638	96.19372325
547.92	94.97710822	96.19915112
548.33	95.06400736	96.2999705
548.73	95.17285792	96.43730999
549.14	95.29867243	96.56346088
549.55	95.35321508	96.61176808
549.95	95.38521677	96.66473933
550.36	95.46176263	96.79902639
550.77	95.62175559	96.98938147
551.17	95.6433574	96.92442724
551.58	95.62654315	96.9002947
551.98	95.73890128	96.94232122
552.39	95.85638183	96.99693253
552.8	95.95266698	97.0265137
553.2	95.99391601	97.00949086
553.61	96.0916477	96.96909399
554.01	96.12355934	96.88118934
554.42	96.04330367	96.72176171
554.83	95.93468766	96.68085946
555.23	95.85919055	96.70140601
555.64	95.83993965	96.67344403
556.04	95.85894314	96.75612837
556.45	95.82488599	96.80841642
556.85	95.91612322	96.90299856
557.26	96.0141571	96.9590475
557.66	96.02628538	96.94937338
558.07	96.11302207	97.18919867
558.47	96.12970543	97.27792488
558.88	96.10539322	97.40543513
559.28	96.04425869	97.42475431
559.69	95.9958845	97.45077037
560.09	95.96874677	97.51419819
560.5	95.82166895	97.49492236
560.9	95.68342365	97.38706861
561.31	95.66453107	97.38167032
561.71	95.60474035	97.28905407
562.12	95.59487943	97.0901606
562.52	95.48965664	96.92423266
562.92	95.34455983	96.73100482
563.33	95.22026813	96.60773336
563.73	95.16816685	96.5606996
564.14	95.1013017	96.52417795
564.54	95.01495111	96.48340386
564.94	94.90991787	96.31911699
565.35	94.79487414	96.22259817
565.75	94.73128929	96.09948153
566.16	94.62240117	96.00821542
566.56	94.46030243	95.9204151
566.96	94.27461945	95.83966377
567.37	94.22389789	95.82415696
567.77	94.12330852	95.87429558
568.17	93.95539426	95.8694137
568.58	93.8571356	95.95703773
568.98	93.7706678	96.16078852
569.38	93.61551763	96.35556597
569.79	93.53458175	96.53697416
570.19	93.50498801	96.66626175
570.59	93.34202417	96.64631036
571	93.17240482	96.67767549
571.4	93.0541479	96.63557716
571.8	92.84276035	96.59567533
572.2	92.70380793	96.59902065
572.61	92.59033882	96.62612808
573.01	92.49855146	96.65037545
573.41	92.37257646	96.6532274
573.81	92.24986568	96.57700592
574.22	92.09810998	96.60959683
574.62	92.06550169	96.59875054
575.02	92.0785297	96.6379921
575.42	92.03842218	96.59984803
575.82	91.94775713	96.48729032
576.23	92.00946187	96.40568084
576.63	91.95080437	96.24421588
577.03	91.88267979	96.05763423
577.43	91.90363236	96.00819903
577.83	91.94784112	95.98183414
578.23	91.92037857	95.96590605
578.64	92.04464095	96.0577925
579.04	92.11062251	96.10737814
579.44	92.14109143	96.14753638
579.84	92.25017763	96.21152684
580.24	92.40523151	96.18489471
580.64	92.56836631	96.14736254
581.04	92.63852877	95.98055532
581.45	92.76140391	95.9624381
581.85	92.86869088	95.79762803
582.25	92.9914835	95.63676899
582.65	93.15019986	95.56562806
583.05	93.22122386	95.35929081
583.45	93.38195651	95.14190309
583.85	93.48074448	94.94270054
584.25	93.54534338	94.63754344
584.65	93.63604896	94.23372812
585.05	93.74809987	93.7852863
585.45	93.78254614	93.28364404
585.85	93.92796182	92.77011542
586.25	93.97107992	92.27280885
586.65	94.05318299	91.75917555
587.05	94.22881987	91.3296935
587.45	94.37229534	90.87939385
587.85	94.5509153	90.4535879
588.25	94.62110778	89.86358337
588.65	94.66292768	89.43338418
589.05	94.77092915	89.07045047
589.45	94.80557315	88.65812244
589.85	94.90343875	88.42735145
590.25	94.98390245	88.23956379
590.65	95.00613304	88.01481393
591.05	95.16971442	87.95036647
591.45	95.2450366	87.93866066
591.85	95.38612543	88.03441664
592.25	95.50427469	88.06632599
592.65	95.49681385	88.12750194
593.04	95.6553865	88.32908274
593.44	95.70686985	88.54915692
593.84	95.62111953	88.81720745
594.24	95.62968264	89.21100212
594.64	95.66085172	89.58626499
595.04	95.77170942	90.04927963
595.44	95.88034292	90.42147159
595.84	95.99293056	90.78870696
596.23	96.11559123	91.08727903
596.63	96.16822756	91.36893626
597.03	96.16988768	91.62689634
597.43	96.3110893	91.90802745
597.83	96.2814391	92.14102932
598.22	96.31212264	92.3124144
598.62	96.33833769	92.52601295
599.02	96.42676026	92.77344174
599.42	96.52030231	92.99708128
599.82	96.50021926	93.09125134
600.21	96.50673066	93.25144704
600.61	96.62711343	93.47631118
601.01	96.71067611	93.63034883
601.41	96.74646626	93.71507601
601.8	96.70431179	93.79035422
602.2	96.70439519	93.83807659
602.6	96.64748844	93.86848375
603	96.50532127	93.88918337
603.39	96.46745151	93.88878035
603.79	96.45050974	93.87600729
604.19	96.48792503	94.03413829
604.58	96.55947816	94.06129003
604.98	96.59297784	94.12782112
605.38	96.62090521	94.17508101
605.77	96.71525982	94.17412797
606.17	96.78837994	94.20839646
606.57	96.8010887	94.1964016
606.96	96.91893253	94.12601212
607.36	96.94129659	94.02293734
607.76	96.99250484	93.95651149
608.15	97.03214945	93.98210387
608.55	96.95064668	93.80777074
608.95	96.88128062	93.74386997
609.34	96.84214231	93.74411557
609.74	96.82820001	93.75892875
610.13	96.80519662	93.71532857
610.53	96.70252309	93.71947458
610.93	96.54585199	93.60932895
611.32	96.43365148	93.52899025
611.72	96.44679421	93.50264881
612.11	96.41558664	93.49334745
612.51	96.35953923	93.53075294
612.9	96.31549792	93.56865766
613.3	96.3300209	93.63818535
613.69	96.26955087	93.67957545
614.09	96.23304821	93.64143535
614.48	96.11552726	93.63613468
614.88	96.05262763	93.57714125
615.27	96.12964663	93.76814291
615.67	96.21760798	93.83654144
